Português,Hunsrik,Tipo,Notas
abandonar,"abandoneere, ferlosse, hinnerlosse, uffgewe",verbo,
abdicar,"abdikeere, uffgewe",verbo,
Argentina,"Argentinje, Arschentina","sn; das",var. Arschentina emprestada do português
Brasil,"Brasil, Brasilje","där Brasil; das Brasilje",var. Brasil emprestada do português
brigar,"brike, kemfe, streide, zanke",verbo,ps. streide/gestridd
Bolívia,"Bolivje, Bolivia","das Bolivje, die Bolivia",var. Bolivia emprestada do português
Chile,Chile,"sn; das",
Colombia,"Kolombje, Kolombia","das Kolombje; die Kolombia",var. Kolombia emprestada do português
Equador,Ëkuatoer,"sn; das",
guerra,Kriegh,"sm; där",pl. Kriegh
morder,"aanbeise, beise, ferbeise, knappe",verbo,
Paraguai,Paraguay,"sn; das",
Peru,Peru,"sn; das",
pesquisar,suche,verbo,
Uruguai,Uruguay,"sn; das",
Venezuela,Vënësuela,"sn; das",
